sepal_length,sepal_width,petal_length,petal_width,species
5.1,3.5,1.4,0.2,setosa
6.1,4.5,2.4,0.2,setosa
7.1,5.5,3.4,0.2,setosa
8.1,6.5,4.4,0.2,setosa
9.1,7.5,5.4,0.2,setosa
10.1,8.5,6.4,0.4,setosa
11.1,9.5,7.4,0.3,setosa
12.1,10.5,8.4,0.2,setosa
13.1,11.5,9.4,0.2,setosa
14.1,12.5,10.4,0.1,setosa
15.1,13.5,11.4,0.2,setosa
16.1,14.5,12.4,0.2,setosa
17.1,15.5,13.4,0.1,setosa
18.1,16.5,14.4,0.1,setosa
19.1,17.5,15.4,0.2,setosa
20.1,18.5,16.4,0.4,setosa
21.1,19.5,17.4,0.4,setosa
22.1,20.5,18.4,0.3,setosa
23.1,21.5,19.4,0.3,setosa
24.1,22.5,20.4,0.3,setosa
25.1,23.5,21.4,0.2,setosa
26.1,24.5,22.4,0.4,setosa
27.1,25.5,23.4,0.2,setosa
28.1,26.5,24.4,0.5,setosa
29.1,27.5,25.4,0.2,setosa
30.1,28.5,26.4,0.2,setosa
31.1,29.5,27.4,0.4,setosa
32.1,30.5,28.4,0.2,setosa
33.1,31.5,29.4,0.2,setosa
34.1,32.5,30.4,0.2,setosa
35.1,33.5,31.4,0.2,setosa
36.1,34.5,32.4,0.4,setosa
37.1,35.5,33.4,0.1,setosa
38.1,36.5,34.4,0.2,setosa
39.1,37.5,35.4,0.1,setosa
40.1,38.5,36.4,0.2,setosa
41.1,39.5,37.4,0.2,setosa
42.1,40.5,38.4,0.1,setosa
43.1,41.5,39.4,0.2,setosa
44.1,42.5,40.4,0.2,setosa
45.1,43.5,41.4,0.3,setosa
46.1,44.5,42.4,0.3,setosa
47.1,45.5,43.4,0.2,setosa
48.1,46.5,44.4,0.6,setosa
49.1,47.5,45.4,0.4,setosa
50.1,48.5,46.4,0.3,setosa
51.1,49.5,47.4,0.2,setosa
52.1,50.5,48.4,0.2,setosa
53.1,51.5,49.4,0.2,setosa
54.1,52.5,50.4,0.2,setosa
55.1,53.5,51.4,1.4,versicolor
56.1,54.5,52.4,1.5,versicolor
57.1,55.5,53.4,1.5,versicolor
58.1,56.5,54.4,1.3,versicolor
59.1,57.5,55.4,1.5,versicolor
60.1,58.5,56.4,1.3,versicolor
61.1,59.5,57.4,1.6,versicolor
62.1,60.5,58.4,1,versicolor
63.1,61.5,59.4,1.3,versicolor
64.1,62.5,60.4,1.4,versicolor
65.1,63.5,61.4,1,versicolor
66.1,64.5,62.4,1.5,versicolor
67.1,65.5,63.4,1,versicolor
68.1,66.5,64.4,1.4,versicolor
69.1,67.5,65.4,1.3,versicolor
70.1,68.5,66.4,1.4,versicolor
71.1,69.5,67.4,1.5,versicolor
72.1,70.5,68.4,1,versicolor
73.1,71.5,69.4,1.5,versicolor
74.1,72.5,70.4,1.1,versicolor
75.1,73.5,71.4,1.8,versicolor
76.1,74.5,72.4,1.3,versicolor
77.1,75.5,73.4,1.5,versicolor
78.1,76.5,74.4,1.2,versicolor
79.1,77.5,75.4,1.3,versicolor
80.1,78.5,76.4,1.4,versicolor
81.1,79.5,77.4,1.4,versicolor
82.1,80.5,78.4,1.7,versicolor
83.1,81.5,79.4,1.5,versicolor
84.1,82.5,80.4,1,versicolor
85.1,83.5,81.4,1.1,versicolor
86.1,84.5,82.4,1,versicolor
87.1,85.5,83.4,1.2,versicolor
88.1,86.5,84.4,1.6,versicolor
89.1,87.5,85.4,1.5,versicolor
90.1,88.5,86.4,1.6,versicolor
91.1,89.5,87.4,1.5,versicolor
92.1,90.5,88.4,1.3,versicolor
93.1,91.5,89.4,1.3,versicolor
94.1,92.5,90.4,1.3,versicolor
95.1,93.5,91.4,1.2,versicolor
96.1,94.5,92.4,1.4,versicolor
97.1,95.5,93.4,1.2,versicolor
98.1,96.5,94.4,1,versicolor
99.1,97.5,95.4,1.3,versicolor
100.1,98.5,96.4,1.2,versicolor
101.1,99.5,97.4,1.3,versicolor
102.1,100.5,98.4,1.3,versicolor
103.1,101.5,99.4,1.1,versicolor
104.1,102.5,100.4,1.3,versicolor
105.1,103.5,101.4,2.5,virginica
106.1,104.5,102.4,1.9,virginica
107.1,105.5,103.4,2.1,virginica
108.1,106.5,104.4,1.8,virginica
109.1,107.5,105.4,2.2,virginica
110.1,108.5,106.4,2.1,virginica
111.1,109.5,107.4,1.7,virginica
112.1,110.5,108.4,1.8,virginica
113.1,111.5,109.4,1.8,virginica
114.1,112.5,110.4,2.5,virginica
115.1,113.5,111.4,2,virginica
116.1,114.5,112.4,1.9,virginica
117.1,115.5,113.4,2.1,virginica
118.1,116.5,114.4,2,virginica
119.1,117.5,115.4,2.4,virginica
120.1,118.5,116.4,2.3,virginica
121.1,119.5,117.4,1.8,virginica
122.1,120.5,118.4,2.2,virginica
123.1,121.5,119.4,2.3,virginica
124.1,122.5,120.4,1.5,virginica
125.1,123.5,121.4,2.3,virginica
126.1,124.5,122.4,2,virginica
127.1,125.5,123.4,2,virginica
128.1,126.5,124.4,1.8,virginica
129.1,127.5,125.4,2.1,virginica
130.1,128.5,126.4,1.8,virginica
131.1,129.5,127.4,1.8,virginica
132.1,130.5,128.4,1.8,virginica
133.1,131.5,129.4,2.1,virginica
134.1,132.5,130.4,1.6,virginica
135.1,133.5,131.4,1.9,virginica
136.1,134.5,132.4,2,virginica
137.1,135.5,133.4,2.2,virginica
138.1,136.5,134.4,1.5,virginica
139.1,137.5,135.4,1.4,virginica
140.1,138.5,136.4,2.3,virginica
141.1,139.5,137.4,2.4,virginica
